,Node1,Edge,Node2
0,people,have,wrath
1,people,have,hands
2,considerations,drive,mob
3,saturday,have,hands
4,outrage,make,cry
5,county,have,duty
6,sheriff,convene,court
7,sheriff,try,criminals
8,consideration,prompt,mob
9,negroes,have,lives
10,lynch,have,work
11,bailey,serve,sentences
12,bailey,try,afternoon
13,juries,return,verdict
14,bailey,try,whom
15,jury,recommend,florence
16,gardner,recommend,mercy
17,bailey,have,sentence
18,murderer,have,jail
19,negro,kill,king
20,your,have,correspondent
21,correspondent,learn,particulars
22,king,have,quarrel
23,harris,make,threats
24,harris,make,them
25,harris,say,what
26,harris,have,house
27,harris,have,gun
28,load,enter,king
29,harris,arrest,trial
30,harris,give,trial
31,officers,have,prisoner
32,harris,have,neck
33,postoffice,have,section
34,king,leave,wife
35,coroner,have,afternoon
36,shooting,occur,parents
37,considerations,drive,mob
38,outrage,make,cry
39,he,convene,court
40,he,try,criminals
41,consideration,prompt,mob
42,bailey,serve,sentences
43,dews,try,afternoon
44,they,return,verdict
45,brothers,try,whom
46,jury,recommend,florence
47,bailey,have,sentence
48,your,have,correspondent
49,correspondent,learn,them
50,king,have,quarrel
51,harris,make,threats
52,he,say,what
53,that,',$
54,he,run,$
55,load,king',$
56,harris,arrest,trial
57,harris,give,trial
58,he,leave,wife
59,night,o',$
60,he,call,$
