,Source,Edge,Target
0,people,has,wrath
1,people,has,hands
2,county,has,duty
3,sheriff,conven,court
4,sheriff,tri,criminals
5,bailey,serv,sentences
6,bailey,tri,afternoon
7,bailey,tri,whom
8,jury,recommend,florence
9,gardner,recommend,mercy
10,bailey,have,sentence
11,murderer,has,jail
12,negro,kill,king
13,correspondent,learn,particulars
14,king,had,quarrel
15,harris,make,threats
16,harris,made,them
17,harris,said,what
18,harris,has,house
19,harris,has,gun
20,harris,arrest,trial
21,harris,given,trial
22,harris,has,neck
23,king,leav,wife
24,coroner,has,afternoon
